ID;USERNAME_;PASSWORD_;NAME_;SURNAME;EMAIL;GENDER;BIRTHDATE;TELNR1;TELNR2;CITY;TOWN;DISTRICT;ADDRESSTEXT
1;N_SENGUN;DA9683178578423FA84326D01E12F3C6;Nuray;Şengün;N_SENGUN@turkcellgy.com;K;1995-12-27;(531) 1800480;(532) 1587310;KOCAELİ;GÖLCÜK;İHSANİYE MERKEZ MAH.;İHSANİYE MERKEZ MAH.4375.. SOKAK NO:607 100231 GÖLCÜK/KOCAELİ
2;"S_KIRAC ";FE53A927135040F08454FEEA56D84382;Sedef;Kıraç;S_KIRAC @turkcellgy.com;K;1994-06-13;(530) 1641367;(531) 2193464;İZMİR;KONAK;ATAMER MAH.;ATAMER MAH.2581. SOKAK NO:529 96650 KONAK/İZMİR
3;A_POCAN;60C1054CBD0F4BB6981214986BABF8D3;Amine;Poçan;A_POCAN@turkcellgy.com;K;1974-08-03;(534) 1233496;(535) 1271625;İSTANBUL;SANCAKTEPE;FATIH MAH.;FATIH MAH.PLEVNE CADDESİ SOKAK NO:563 119342 SANCAKTEPE/İSTANBUL
4;S_TUTUNCU;B7D7C19FD6334E5C9B227F4F585276CF;Savaş;Tütüncü;S_TUTUNCU@turkcellgy.com;E;1979-03-12;(536) 1547566;(531) 1280095;ISPARTA;ISPARTA MERKEZ;FATİH MAH.;FATİH MAH.4583. SOKAK NO:46 94569 ISPARTA MERKEZ/ISPARTA
5;E_AKDEMIR;9C4283F2155A4FECB8E1E7220AC901B4;Esra;Akdemir;E_AKDEMIR@turkcellgy.com;K;1955-12-25;(533) 1168139;(531) 1479635;ISPARTA;ULUBORLU;KABAAĞAÇ MAH.;KABAAĞAÇ MAH.GAZİ BULVARI SOKAK NO:101 94921 ULUBORLU/ISPARTA
6;"Z_ASIL ";90A1D1DDA4AE4448927EDBFBED40CC32;Zahide;Asil;Z_ASIL @turkcellgy.com;K;1974-11-29;(532) 1828712;(534) 2300654;DENİZLİ;SERİNHİSAR;PINARCIK MAH.;PINARCIK MAH.BALTALAR SOKAK NO:609 89159 SERİNHİSAR/DENİZLİ
7;K_TELLI;4432BAB70DF8499C825A395D3E3FEE43;Kübra;Telli;K_TELLI@turkcellgy.com;K;1977-09-04;(532) 1573506;(536) 1874541;İZMİR;GAZİEMİR;SEVGİ MAH.;SEVGİ MAH.87. SOKAK NO:377 96596 GAZİEMİR/İZMİR
8;K_ATAKAN;DDDF69FA8FF84E29A15F32D76C7301CA;Kemal;Atakan;K_ATAKAN@turkcellgy.com;E;1994-07-05;(535) 2028135;(534) 1355110;MERSİN;TARSUS;CAMİNUR MAH.;CAMİNUR MAH.0802. SOKAK NO:161 95504 TARSUS/MERSİN
9;F_DONMEZ;54C18E6B21C0474D880EB7F223942846;Feyza;Dönmez;F_DONMEZ@turkcellgy.com;K;1972-09-20;(535) 2102194;(533) 1402775;DENİZLİ;ACIPAYAM;YENİ MAH.;YENİ MAH.BADEMKENT KÜME EVLERİ SOKAK NO:662 88689 ACIPAYAM/DENİZLİ
10;"G_ECE ";D7F3FFE3544F42ABB5E8CD562ACA3347;Gökhan;Ece;G_ECE @turkcellgy.com;E;1969-11-12;(536) 1517672;(535) 2162832;YOZGAT;ÇAYIRALAN;EVCİLER-GÜLTEPE MAH.;EVCİLER-GÜLTEPE MAH.PAPATYA SOKAK NO:363 114571 ÇAYIRALAN/YOZGAT
11;T_AKISIK;EFA396D560D8419BB4E2D047833C0FB3;Turgay;Akışık;T_AKISIK@turkcellgy.com;E;1976-02-27;(536) 2106833;(530) 1788503;YALOVA;ALTINOVA;TAVŞANLI-ŞEHİTLİK MAH.;TAVŞANLI-ŞEHİTLİK MAH.BAHATTİN AÇIKEL SOKAK NO:344 117367 ALTINOVA/YALOVA
12;N_AKCAL;2E95495BE19E4ED8824498EB675CBC81;Nisanur;Akçal;N_AKCAL@turkcellgy.com;K;1967-03-31;(531) 1200927;(533) 1917115;TRABZON;ARAKLI;YOLGÖREN MAH.;YOLGÖREN MAH.DİLEK SOKAK NO:570 112040 ARAKLI/TRABZON
13;S_AYKURT;7DF9E893BCE5462DBF50953EA89CC23C;Selma;Aykurt;S_AYKURT@turkcellgy.com;K;1984-06-14;(532) 1134451;(535) 1758089;MUĞLA;BODRUM;MUMCULAR-YENİ MAH.;MUMCULAR-YENİ MAH.160. SOKAK NO:230 76297 BODRUM/MUĞLA
14;B_ALPMAN;E749FCC9CC8B43DB898A712134A8B0CC;Bünyamin;Alpman;B_ALPMAN@turkcellgy.com;E;1970-06-29;(537) 1826356;(537) 2159767;ADIYAMAN;ADIYAMAN MERKEZ;YENİ MAH.;YENİ MAH.26207. SOKAK NO:800 78788 ADIYAMAN MERKEZ/ADIYAMAN
15;"G_KASIKCI ";CA50BC144485488E89ACCB6AA3E104D5;Gülüzar;Kaşıkçı;G_KASIKCI @turkcellgy.com;K;1951-05-30;(530) 1484742;(532) 2283814;BAYBURT;BAYBURT MERKEZ;GENÇOSMAN MAH.;GENÇOSMAN MAH.9 NOLU SOKAK NO:684 115628 BAYBURT MERKEZ/BAYBURT
16;"B_AKKAYA ";1E27221BF625419294525AC5242FDE26;Büşra;Akkaya;B_AKKAYA @turkcellgy.com;K;1963-04-22;(536) 1429394;(534) 1485795;MERSİN;YENİŞEHİR;PALMİYE MAH.;PALMİYE MAH.1208. SOKAK NO:577 119753 YENİŞEHİR/MERSİN
17;N_KOCYIGIT;19526D6E4D474801AC2C9C5E16A5F8D3;Nevzat;Koçyiğit;N_KOCYIGIT@turkcellgy.com;E;1957-12-17;(530) 1305554;(530) 1643628;SAKARYA;ADAPAZARI;CUMHURİYET MAH.;CUMHURİYET MAH.KAYIN SOKAK NO:87 119859 ADAPAZARI/SAKARYA
18;Y_DEMIRAYAK;0B970C86CC7443EBB52BE03FD0D34E6C;Yiğit;Demirayak;Y_DEMIRAYAK@turkcellgy.com;E;1966-01-14;(531) 2096535;(535) 1619304;ADANA;SEYHAN;ONUR MAH.;ONUR MAH.45197. SOKAK NO:696 78102 SEYHAN/ADANA
19;O_KUTAY;D820480620E14CFC8CD684D978746BEF;Oğuz;Kutay;O_KUTAY@turkcellgy.com;E;1994-12-15;(534) 1466843;(537) 1544536;SİVAS;KOYULHİSAR;AKSEKİ KÖYÜ;AKSEKİ KÖYÜ MAH.YUKARI AĞILLAR SOKAK NO:248 110500 KOYULHİSAR/SİVAS
20;"E_POYRAZ ";213DDC696E15409BB23550EA48B41959;Elif;Poyraz;E_POYRAZ @turkcellgy.com;K;1954-10-10;(536) 1683206;(536) 1698175;NİĞDE;NİĞDE MERKEZ;FERTEK-BAHÇELİEVLER MAH.;FERTEK-BAHÇELİEVLER MAH.KUMLUCA 11 SOKAK NO:777 106095 NİĞDE MERKEZ/NİĞDE
21;H_BERKIN;1016AFCAF40A4251BA4A4C9823331A56;Hikmet;Berkin;H_BERKIN@turkcellgy.com;E;1996-05-15;(536) 2123716;(536) 1152754;TEKİRDAĞ;ÇERKEZKÖY;KAPAKLI-CUMHURİYET MAH.;KAPAKLI-CUMHURİYET MAH.KOSOVA SOKAK NO:338 110905 ÇERKEZKÖY/TEKİRDAĞ
22;A_IPLIKCI;99FA980D593D4573AFB53B37FCCF5378;Abdulkadir;İplikçi;A_IPLIKCI@turkcellgy.com;E;1981-02-04;(530) 2179046;(532) 2184243;MUĞLA;DATÇA;REŞADİYE MAH.;REŞADİYE MAH.HIZIRŞAH YOLU SOKAK NO:212 105236 DATÇA/MUĞLA
23;Y_ERBERK;6869E7BD8F8B4952A0329170787989EC;Yusuf;Erberk;Y_ERBERK@turkcellgy.com;E;1954-03-29;(534) 2285465;(531) 1597166;AFYONKARAHİSAR;DİNAR;BELENPINAR KÖYÜ;BELENPINAR KÖYÜ MAH.KÖYÜN KENDİSİ SOKAK NO:99 79542 DİNAR/AFYONKARAHİSAR
24;A_INCE;5C4D917F1BB04942AEF5DD1FC8CCB8FE;Ayşenur;İnce;A_INCE@turkcellgy.com;K;1964-02-21;(534) 1230118;(532) 1504887;TRABZON;AKÇAABAT;AKPINAR-MERKEZ MAH.;AKPINAR-MERKEZ MAH.SIRT MEZRASI KÜME EVLERİ SOKAK NO:701 111961 AKÇAABAT/TRABZON
25;D_FAZLIOGLU;FB5E2C8680F04A2397864955556C4BD0;Döndü;Fazlıoğlu;D_FAZLIOGLU@turkcellgy.com;K;1993-05-16;(533) 2153831;(535) 1967257;ŞANLIURFA;SİVEREK;DİCLE MAH.;DİCLE MAH.DİCLE 31. SOKAK NO:163 113321 SİVEREK/ŞANLIURFA
26;N_AYAYDIN;CA2AE7A377CB4E0086081E45B737993D;Necati;Ayaydın;N_AYAYDIN@turkcellgy.com;E;1992-03-27;(534) 1283691;(530) 2311717;ISPARTA;ISPARTA MERKEZ;ÇÜNÜR MAH.;ÇÜNÜR MAH.5404. SOKAK NO:71 94600 ISPARTA MERKEZ/ISPARTA
27;F_TILBE;DF2F7DA7D5FD469E962C67988F986078;Fatih;Tilbe;F_TILBE@turkcellgy.com;E;1954-09-08;(533) 1872977;(534) 2065938;AFYONKARAHİSAR;AFYONKARAHİSAR MERKEZ;HAMİDİYE MAH.;HAMİDİYE MAH.ŞEHİT MUSTAFA SEZER SOKAK NO:428 79152 AFYONKARAHİSAR MERKEZ/AFYONKARAHİSAR
28;T_MENTESOGLU;2E471C80DBEB4B23B8947C5787BA2A6F;Talha;Menteşoğlu;T_MENTESOGLU@turkcellgy.com;E;1958-05-10;(533) 1221360;(532) 1163379;BALIKESİR;DURSUNBEY;BOZYOKUŞ MAH.;BOZYOKUŞ MAH.HAL SOKAK NO:585 83830 DURSUNBEY/BALIKESİR
29;I_TERZIOGLU;DF90FB749DD44EA5BFB1055017BAD786;İzzet;Terzioğlu;I_TERZIOGLU@turkcellgy.com;E;1955-03-18;(537) 1522254;(530) 1535139;ANKARA;MAMAK;EKİN MAH.;EKİN MAH.1600/4 SOKAK NO:577 81145 MAMAK/ANKARA
30;"B_ONUR ";AE08E6B8FC2445459E522955F2DA6633;Berfin;Onur;B_ONUR @turkcellgy.com;K;1964-12-26;(536) 1948939;(537) 1760560;RİZE;ÇAMLIHEMŞİN;MURATKÖY;MURATKÖY MAH.KUZEY BAYIR MEVKİ SOKAK NO:691 107331 ÇAMLIHEMŞİN/RİZE
31;K_AKAL;C4BED8AB27C14DF08C37D147C656DCBE;Keziban;Akal;K_AKAL@turkcellgy.com;K;1993-03-20;(530) 1472589;(533) 2064512;ÇANAKKALE;GELİBOLU;ALAEDDİN MAH.;ALAEDDİN MAH.KAPTANLAR 4. GEÇİT SOKAK NO:641 87183 GELİBOLU/ÇANAKKALE
32;E_MOSSO;7C81562902F14295ACAC5F5CE09AB021;Elif  su;Mosso;E_MOSSO@turkcellgy.com;K;1961-02-28;(535) 1316787;(536) 1236417;HATAY;BELEN;ŞENBÜK MAH.;ŞENBÜK KÖYÜ MAH.9 NOLU YOL CADDESİ SOKAK NO:145 94228 BELEN/HATAY
33;H_MOSSO;437A5596811A49AEA631555AECC3BDB5;Hikmet;Mosso;H_MOSSO@turkcellgy.com;E;1955-01-01;(535) 1994929;(536) 1641135;ADANA;SARIÇAM;İSTİKLAL MAH.;İSTİKLAL MAH.3944. SOKAK NO:594 118918 SARIÇAM/ADANA
34;B_SUER;83D91A23F44C444686DD6E7FB6030471;Berna;Süer;B_SUER@turkcellgy.com;K;1960-07-20;(537) 2244351;(532) 1407220;ANKARA;YENİMAHALLE;KORU MAH.;KORU MAH.2584. SOKAK NO:191 81282 YENİMAHALLE/ANKARA
35;E_INLER;D579CEAFA1C140BA918D78F23F138E65;Eylül;İnler;E_INLER@turkcellgy.com;K;1961-06-18;(532) 2109958;(533) 1472429;ZONGULDAK;ZONGULDAK MERKEZ;ÇATALAĞZI-MERKEZ MAH.;ÇATALAĞZI-MERKEZ MAH.UĞUR MUMCU SOKAK NO:796 77871 ZONGULDAK MERKEZ/ZONGULDAK
36;"Y_ALTINTAS ";E08F8F999E354F619D1ABF93CBFFEA3D;Yasin;Altıntaş;Y_ALTINTAS @turkcellgy.com;E;1971-05-04;(537) 2012124;(530) 2177753;YOZGAT;SORGUN;OSMANÇAVUŞ MAH.;OSMANÇAVUŞ MAH.5408. SOKAK NO:885 114763 SORGUN/YOZGAT
37;D_CANPOLAT;74ECAD9C7C2D472B9AA0C8704A2F0CD2;Devran;Canpolat;D_CANPOLAT@turkcellgy.com;E;1978-06-23;(534) 1783378;(531) 1113780;ISPARTA;ISPARTA MERKEZ;KURTULUŞ MAH.;KURTULUŞ MAH.122. CADDESİ SOKAK NO:600 94582 ISPARTA MERKEZ/ISPARTA
38;B_SEZGIN;829572A48F224D5E9271799A7AC01A7A;Bülent;Sezgin;B_SEZGIN@turkcellgy.com;E;1999-10-08;(536) 2196766;(532) 1739553;OSMANİYE;KADİRLİ;CEMALPAŞA MAH.;CEMALPAŞA MAH.1650. SOKAK NO:9 118121 KADİRLİ/OSMANİYE
