ID;INVOICENO;DATE_;CUSTOMERID;NAMESURNAME;CUSTOMERGENDER;CUSTOMERBIRTHDATE;ITEMCODE;ITEMNAME;UNITPRICE;BRAND;CATEGORY1;CATEGORY2;CATEGORY3;AMOUNT;PRICE;TOTALPRICE;REGION;CITY;TOWN;DISTRICT;ADDRESSTEXT;BARCODEDATE;INVOICEDATE
1;10092022-000001;2022-09-10 08:53:51.213;2248;Tuba Dağdaş;K;1956-07-28;001182;LİMON KOLONYA 200ML PVC;30;MARKA-72;KOZMETİK;PARFÜM DEODORANT;KOLANYALAR;3;24,87;74,61;İç Anadolu;Karaman;KARAMAN MERKEZ;TOPUCAK MAH.;TOPUCAK MAH.BEKİR SITKI ERDOĞAN CADDESİ SOKAK NO:733 115851 KARAMAN MERKEZ/KARAMAN;2022-09-10 08:54:09.980;2022-09-10 08:55:46.557
2;10092022-000001;2022-09-10 08:53:51.213;2248;Tuba Dağdaş;K;1956-07-28;000458;LEKE ÇIKARICI 2 LT;106;MARKA-68;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;LEKE ÇIKARICI;2;112,79;225,58;İç Anadolu;Karaman;KARAMAN MERKEZ;TOPUCAK MAH.;TOPUCAK MAH.BEKİR SITKI ERDOĞAN CADDESİ SOKAK NO:733 115851 KARAMAN MERKEZ/KARAMAN;2022-09-10 08:54:20.417;2022-09-10 08:55:46.557
3;10092022-000001;2022-09-10 08:53:51.213;2248;Tuba Dağdaş;K;1956-07-28;000009;ÇUBUK KRAKER 36 GR;2;MARKA-210;GIDA;BÜSKİVİ ÇEREZ;BÜSKİVİ;1;2,2;2,2;İç Anadolu;Karaman;KARAMAN MERKEZ;TOPUCAK MAH.;TOPUCAK MAH.BEKİR SITKI ERDOĞAN CADDESİ SOKAK NO:733 115851 KARAMAN MERKEZ/KARAMAN;2022-09-10 08:54:34.860;2022-09-10 08:55:46.557
4;10092022-000001;2022-09-10 08:53:51.213;2248;Tuba Dağdaş;K;1956-07-28;000913;AYAKKABI BOYASI 200 GR. A KAHVE;23,2;MARKA-192;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;AYAKKABI BAKIM;3;18,12;54,36;İç Anadolu;Karaman;KARAMAN MERKEZ;TOPUCAK MAH.;TOPUCAK MAH.BEKİR SITKI ERDOĞAN CADDESİ SOKAK NO:733 115851 KARAMAN MERKEZ/KARAMAN;2022-09-10 08:54:49.140;2022-09-10 08:55:46.557
5;10092022-000001;2022-09-10 08:53:51.213;2248;Tuba Dağdaş;K;1956-07-28;000031;DOMATES SALÇASI 170 GR;12;MARKA-200;GIDA;HAZIR YEMEKLER;SALÇA;2;10,46;20,92;İç Anadolu;Karaman;KARAMAN MERKEZ;TOPUCAK MAH.;TOPUCAK MAH.BEKİR SITKI ERDOĞAN CADDESİ SOKAK NO:733 115851 KARAMAN MERKEZ/KARAMAN;2022-09-10 08:55:01.153;2022-09-10 08:55:46.557
6;10092022-000001;2022-09-10 08:53:51.213;2248;Tuba Dağdaş;K;1956-07-28;000770;SAPLI PASPAS;58;MARKA-22;DETERJAN TEMİZLİK;EV TEMİZLİK GEREÇLERİ;FIRÇA SÜPÜRGE;2;53,69;107,38;İç Anadolu;Karaman;KARAMAN MERKEZ;TOPUCAK MAH.;TOPUCAK MAH.BEKİR SITKI ERDOĞAN CADDESİ SOKAK NO:733 115851 KARAMAN MERKEZ/KARAMAN;2022-09-10 08:55:13.430;2022-09-10 08:55:46.557
7;10092022-000001;2022-09-10 08:53:51.213;2248;Tuba Dağdaş;K;1956-07-28;001161;PUDİNG 2 Lİ 4 LU ÇİKO-SÜTLÜ;30,8;MARKA-59;SÜT KAHVALTILIK;SÜTLÜ TATLILAR DONDURMA;SÜTLÜ TATLILAR;3;28,87;86,61;İç Anadolu;Karaman;KARAMAN MERKEZ;TOPUCAK MAH.;TOPUCAK MAH.BEKİR SITKI ERDOĞAN CADDESİ SOKAK NO:733 115851 KARAMAN MERKEZ/KARAMAN;2022-09-10 08:55:21.643;2022-09-10 08:55:46.557
8;10092022-000001;2022-09-10 08:53:51.213;2248;Tuba Dağdaş;K;1956-07-28;000874;AHŞAP TEMİZLEYİCİSİ 5 İN 1 2SI %60 İND.;87,2;MARKA-172;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;AHŞAP TEMİZLEYİCİ;3;86,87;260,61;İç Anadolu;Karaman;KARAMAN MERKEZ;TOPUCAK MAH.;TOPUCAK MAH.BEKİR SITKI ERDOĞAN CADDESİ SOKAK NO:733 115851 KARAMAN MERKEZ/KARAMAN;2022-09-10 08:55:33.870;2022-09-10 08:55:46.557
9;02122022-000002;2022-12-02 08:52:27.247;4218;Mert İnceoğlu;E;1985-03-30;000009;ÇUBUK KRAKER 36 GR;2;MARKA-210;GIDA;BÜSKİVİ ÇEREZ;BÜSKİVİ;1;2,55;2,55;Karadeniz;Amasya;SULUOVA;MAARİF MAH.;MAARİF MAH.HİSAR SOKAK NO:307 80738 SULUOVA/AMASYA;2022-12-02 08:52:41.697;2022-12-02 08:53:45.773
10;02122022-000002;2022-12-02 08:52:27.247;4218;Mert İnceoğlu;E;1985-03-30;000467;DİŞ FIRÇASI DOUBLE ACTION;25,2;MARKA-186;KOZMETİK;AĞIZ BAKIM;DİŞ FIRÇASI;1;28,21;28,21;Karadeniz;Amasya;SULUOVA;MAARİF MAH.;MAARİF MAH.HİSAR SOKAK NO:307 80738 SULUOVA/AMASYA;2022-12-02 08:52:49.730;2022-12-02 08:53:45.773
11;02122022-000002;2022-12-02 08:52:27.247;4218;Mert İnceoğlu;E;1985-03-30;001329;DİŞ İPİ;78;MARKA-51;KOZMETİK;AĞIZ BAKIM;AĞIZ BAKIM;1;89,98;89,98;Karadeniz;Amasya;SULUOVA;MAARİF MAH.;MAARİF MAH.HİSAR SOKAK NO:307 80738 SULUOVA/AMASYA;2022-12-02 08:52:59.537;2022-12-02 08:53:45.773
12;02122022-000002;2022-12-02 08:52:27.247;4218;Mert İnceoğlu;E;1985-03-30;001217;TOZ İÇECEK 170 GR KUŞBURNU;20;MARKA-99;İÇECEK;GAZSIZ İÇECEK;TOZ İÇECEK;4;21,25;85;Karadeniz;Amasya;SULUOVA;MAARİF MAH.;MAARİF MAH.HİSAR SOKAK NO:307 80738 SULUOVA/AMASYA;2022-12-02 08:53:05.553;2022-12-02 08:53:45.773
