ID;NAMESURNAME;CITY;DAY_;MONTH_;YEAR_;BIRTHDATE;BIRTHDATE2
1;"Saadet Örs ";SAKARYA;17;06;1961;1961-06-17;1961-06-17
2;"Yeter Akçalı ";HAKKARİ;23;09;1959;1959-09-23;1959-09-23
3;Güneş Sonay;ŞIRNAK;08;08;2003;2003-08-08;2003-08-08
4;"Cihan Subaşı ";BOLU;12;11;1998;1998-11-12;1998-11-12
5;"Erdoğan Turan ";ESKİŞEHİR;14;10;1961;1961-10-14;1961-10-14
6;Aliye Şenel;ÇANKIRI;26;02;2004;2004-02-26;2004-02-26
7;"Kuzey Çıtak ";IĞDIR;05;11;2008;2008-11-05;2008-11-05
8;"Enver Çam ";DENİZLİ;15;04;1974;1974-04-15;1974-04-15
9;Aslıhan Okumuş;İSTANBUL;17;11;2002;2002-11-17;2002-11-17
10;"Demet Ayaz ";SİNOP;09;08;1993;1993-08-09;1993-08-09
11;Hilal Paçacı;HAKKARİ;26;05;1980;1980-05-26;1980-05-26
12;"Rukiye Örs ";TRABZON;13;10;2006;2006-10-13;2006-10-13
13;"Sevil Kanca ";AĞRI;23;11;2001;2001-11-23;2001-11-23
14;Zümra Tevfik;MALATYA;26;10;2009;2009-10-26;2009-10-26
15;Mertcan Bayraktutan;UŞAK;05;09;1986;1986-09-05;1986-09-05
16;Sabriye Mertoğlu;DÜZCE;03;04;1987;1987-04-03;1987-04-03
17;"Şenay Taşkıran ";BATMAN;02;02;1985;1985-02-02;1985-02-02
18;"Dudu Akpınar ";KARABÜK;27;07;2001;2001-07-27;2001-07-27
19;Gizem Söyler;ÇANAKKALE;26;07;2001;2001-07-26;2001-07-26
20;Necati Dağdelen;KIRŞEHİR;14;06;1978;1978-06-14;1978-06-14
21;"Zekiye Koç ";ADANA;19;01;2000;2000-01-19;2000-01-19
22;Yakup Dilligil;ARTVİN;27;11;1985;1985-11-27;1985-11-27
23;İbrahim Öztek;MALATYA;06;08;1986;1986-08-06;1986-08-06
24;Halil Dağlı;ORDU;26;10;1967;1967-10-26;1967-10-26
25;Fatma nur Akkor;ÇANAKKALE;13;04;1995;1995-04-13;1995-04-13
26;Necati Çolak;ZONGULDAK;17;01;1954;1954-01-17;1954-01-17
27;"Eylül Durak ";AKSARAY;16;02;1967;1967-02-16;1967-02-16
28;Cansu Gümüşdağ;BALIKESİR;02;01;1976;1976-01-02;1976-01-02
29;Mehmet Emir Menteşoğlu;İZMİR;14;02;1984;1984-02-14;1984-02-14
30;Ezgi Akgül;ÇANKIRI;10;04;1962;1962-04-10;1962-04-10
31;Elifsu Atakol;AFYONKARAHİSAR;26;07;2003;2003-07-26;2003-07-26
32;Şükran Özbir;KOCAELİ;27;11;1976;1976-11-27;1976-11-27
33;Nurullah Tunalı;ADANA;11;10;1960;1960-10-11;1960-10-11
34;Orhan Tezel;HATAY;08;11;2009;2009-11-08;2009-11-08
35;Pelin Güleç;GİRESUN;23;08;1988;1988-08-23;1988-08-23
36;"Fadime Ceyhun ";MUŞ;26;04;1967;1967-04-26;1967-04-26
37;Bilal Topbaş;AFYONKARAHİSAR;23;11;1965;1965-11-23;1965-11-23
38;"Hayrettin Kıraç ";MUĞLA;14;01;1987;1987-01-14;1987-01-14
39;Haydar Keseroğlu;ŞANLIURFA;27;04;1997;1997-04-27;1997-04-27
